"","OID_1","FoodTruckCount_1000","FoodTruckCount_100","FoodTruckCount_2500","FoodTruckCount_250","FoodTruckCount_500","FoodTruckCount_50","Latitude","Longitude"
"70",70,21.8774999403541,0,61.1800010430894,0,0.799999970321272,0,37.8047158350765,-122.280197718358
"71",71,27.3349998560085,0,61.6775017118515,0.174999992673293,6.11249994644081,0,37.8047500900976,-122.27792691502
"72",72,29.3475001923321,0.00750000041978454,62.9550013243367,2.46499991221434,12.4874999066316,0,37.8047843014004,-122.275656109587
"73",73,31.7499996502297,1.94999995674532,65.1125011533036,4.78999994853174,18.729999704777,0.592499986863757,37.804818468985,-122.273385302063
"74",74,33.9199998669404,1.97749998109249,65.0925012246921,9.79250012109341,20.2825001365879,0.455000005148678,37.8048525928511,-122.271114492451
"75",75,34.9849998079233,2.33249994541894,63.9375006546259,8.01999997582858,18.1424998936903,0.777499984848421,37.8048866729988,-122.268843680752
"76",76,0,0,1.98250002164757,0,0,0,37.8057176037907,-122.332470079949
"77",77,0.494999979073925,0,5.50000000310751,0,0,0,37.8058583869546,-122.323386828942
"78",78,0.9999999585819,0,6.33999995003224,0,0,0,37.8058934734505,-122.321116010815
"79",79,2.01249991535017,0.687500037129365,10.5999999220942,0.999999957600152,0.999999957796502,0.195000010529553,37.8060333822521,-122.312032716885
"80",80,3.12249991954731,0,12.2399999390858,0.692499970563983,0.999999957796502,0,37.8060682501567,-122.309761888061
"81",81,4.94250004252653,0,14.3874996859372,0,0.0074999995401386,0,37.8061378548104,-122.305220224022
"82",82,5.2100000282192,0,15.8699998822319,0,0.992499958256363,0,37.8061725915595,-122.302949388811
"83",83,5.01499997420215,0,23.6349995760298,0.129999994450713,1.87499992901695,0,37.8062072845899,-122.300678551478
"84",84,4.28999997886191,0,29.7399997365588,0.574999975674084,2.40499993395739,0,37.8062419339016,-122.298407712023
"85",85,3.53999989290116,0,37.6574997205048,0.627499973436802,2.01499991624408,0,37.8062765394945,-122.296136870451
